regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,8,sim_study2_near_sub53,5467,437.85652488607377,1824.1842197127949
lazy_50,0,8,sim_study2_near_sub47,5428,413.28589192454683,3146.0325538753145
lazy_50,0,8,sim_study1_near_sub31,2616,741.75548705694,1650.4934161247693
lazy_50,0,8,sim_study1_near_sub18,5456,58.372886297360196,763.1970174820511
lazy_50,0,8,sim_study1_near_sub24,5091,244.09303466167526,2110.3658067841193
lazy_50,0,8,sim_study1_near_sub30,4279,34.783647754640775,6151.439970761739
lazy_50,0,8,sim_study2_near_sub46,4975,330.3904506800583,5049.577124038248
lazy_50,0,8,sim_study2_near_sub52,5086,691.5430995443066,518.6421708764925
lazy_50,0,8,sim_study2_near_sub44,5346,854.8842580279443,1006.2104820674667
lazy_50,0,8,sim_study1_near_sub26,5271,381.5383983079719,632.6469537768387
lazy_50,0,8,sim_study1_near_sub32,3948,357.55751121326864,1825.7947248036407
lazy_50,0,8,sim_study1_near_sub33,5306,269.82767465929965,430.4958557318755
lazy_50,0,8,sim_study2_near_sub51,5549,81.64201620502746,1079.1504862726063
lazy_50,0,8,sim_study2_near_sub45,3203,515.7573098310356,5698.062895942978
lazy_50,0,8,sim_study2_near_sub36,5358,112.98336353871395,1654.2938846030893
lazy_50,0,8,sim_study1_near_sub40,4843,1365.5039771178538,931.2867093766268
lazy_50,0,8,sim_study1_near_sub54,4957,922.246911146373,2220.8843274738515
lazy_50,0,8,sim_study1_near_sub41,135,0.0,5542.6698448128045
lazy_50,0,8,sim_study1_near_sub69,5264,116.18864971627436,932.3519514624821
lazy_50,0,8,sim_study2_near_sub37,5064,472.01288289528185,0.0
lazy_50,0,8,sim_study2_near_sub21,5443,0.0,1990.906749682985
lazy_50,0,8,sim_study1_near_sub57,5258,218.83185843826217,2292.527531212413
